id,label,data
1,医疗健康,急聘修脚按摩技师 工作要求：要求两年工作经验以上年龄要求：25-50周岁工作内容：修脚、按脚、足疗、全身*、精油开背供吃住，满勤奖，工作轻松，环境干净，氛围极好，急聘，欢迎来电咨询，店面位置好地处富人区，客流量大，非常方便，包吃包住，人性化管理，开心工作开心赚钱。
2,医疗健康,5K包吃住聘护理员 工作内容：服务半自理、卧床，失能失智老人生活起居及其他护理工作要求：1.有耐心可以照顾老人2.有过经验，能够独立完成护理工作，或者学习能力较强者条件可适当放宽3.供吃供住工作长期稳定，工资待遇4000-10000。年龄：57周岁以内，**不限
3,医疗健康,不需要证的网络咨询护士 在网络对话和拨打医院电话的访客沟通，指导预约挂号及相关病情解答与服务。职位要求：1、大专以上学历，医学、临床、护理等专业；口腔专业优先2、语言表达清晰、流畅、具有良好的交流沟通能力，亲和力；3、熟悉计算机基础知识，打字熟练，有一个销售意识；4、具有良好的职业道德和团队协作精神。6、有宿舍和伙食。7、能顺利接打电话，微信聊天相关操作熟悉工作时间：需倒班白班早8：00-下午4：00晚班下午4：00-晚上11：00
4,医疗健康,包吃住急聘按摩足疗师 工作要求：要求两年工作经验以上年龄要求：25-50周岁工作内容：修脚、按脚、足疗、全身*、精油开背供吃住，满勤奖，工作轻松，环境干净，氛围极好，急聘，欢迎来电咨询，店面位置好地处富人区，客流量大，非常方便，包吃包住，人性化管理，开心工作开心赚钱。
5,医疗健康,内科医生 诊治病人，技术过硬，工作认真负责，对待患者热情有耐心，有团队合作精神
6,医疗健康,西医内科医生 负责门诊日常患者就诊，手法好，懂急抢救流程具体电话联系
7,医疗健康,诚聘45岁以下艾灸师 招聘艾灸师无经验均可年龄45岁以下工作时间：早九～晚七月休4天福利：年假7天，工龄假7天，工作满一年交5险，法定假期休息，每年团建外出旅游，节日礼品，生日假薪资：底薪提成手工奖励饭补满勤年终奖励
8,医疗健康,急聘修脚按摩技师客源稳定 工作要求：要求两年工作经验以上年龄要求：25-50周岁工作内容：修脚、按脚、足疗、全身*、精油开背供吃住，满勤奖，工作轻松，环境干净，氛围极好，急聘，欢迎来电咨询，店面位置好地处富人区，客流量大，非常方便，包吃包住，人性化管理，开心工作开心赚钱。
9,医疗健康,聘正规按摩师活多事少 工作内容：*时间短，店内环境好，手法正规，、、职位要求：形象好气质佳、有无经验均可，
10,医疗健康,"福泽浴足急聘按摩师 职位描述急聘*师，试用期七天，不满意随走随结电联优先，详细了解，欢迎咨询1，有无经验均可形象好气质佳免费培训工资稳定收入高，汝生2，福利丰富:定期团建，优秀员工奖金,旅游。3、优势:连锁店互相调动，不用担心没有顾客。4、客源稳定，资源丰富提点高，收入高待遇丰厚5、有月休，人性化管理，同事之间相处和睦，氛围好心不累。6、开开心心工作快快乐乐赚钱"
11,医疗健康,保底7千聘中医推拿按摩师 岗位职责：负责顾客的身体中医保健*需要，任职资格：7年以上中医推拿工作经验，手法熟练，沟通能力强，有团队精神，年龄25--40之间，身高175以上，形象好，有爱心，能长期合作福利待遇：底薪5000+个人销售提成+手工+奖金=8000-12000元工作时间：9--18点，月休四天
12,医疗健康,急招护士待遇优 护士，早八晚九，上一天休一天，有护士证薪资面谈会扎小孩手脚
13,医疗健康,急南关区穿串工4.5k+ 薪酬待遇：1.底薪保底4500+计件工资，综合薪资4500-5000，工资每月准时发放；2.免费提供食宿，工作服，便捷温馨的住宿环境，宿舍可洗澡，配有洗衣机，空调，无线网络，开心的工作氛围，公平的晋升体系；3.大学生学历津贴（本科学历：每月津贴800元，专科学历：每月津贴500元，转正后持续发放3个月）4.工龄奖，带薪年假，婚假礼金，生育礼金，子教育津贴，生日福利，店内就餐优惠折扣。晋升发展：1.运营管理路径：后厨基本岗位?后厨组长?厨房长?区域稽核经理?运营区经理?运营总监（公司总部设有：财务部、人力资源部、市场品牌部、信息部、外卖部、食安部）岗位职责：（后厨岗位包括：主食凉菜做单明档穿串洗碗）1、按照门店的标准完成所加工产品的验收、清洗、加工、出餐工作；2、产品操作达到产品品质要求、做到出餐形状、重量、规格、数量符合标准；3、按时清洁个人操作区域卫生及仪容仪表规范，确保区域卫生清洁及为顾客提供舒适的就餐感受；4、根据产品需求合理使用机器设备，操作过程中如遇设备、产品等特殊问题无法解决及时上报直属上级，并协助上级解决问题；5、完成本职工作的同时协助其他伙伴工作，执行好上级交办的其他事项，确保高品质的产品供应。任职资格：1、年龄18-45岁之间；2、热爱餐饮行业，注重个人卫生；3、为人诚实守信、认真负责、吃苦耐劳、较强的执行力。面试地点：1、门店直接面试2、高新区繁荣路与桦甸街交汇，丰茂烤串三楼3、面试通过后，长春市内6家门店就近分配。乘车路线：公交车262、292、213、205、195繁荣路站下成册既是
14,医疗健康,招聘火锅后厨人员 招聘前厅，后厨人员前厅服务员底薪4800-7000元，前厅门迎4800-6000元招聘后厨人员底薪4300元加提成；以上岗位月休3天，包吃住，提供被褥，寝室环境好，有独立洗手间、空调、WiFi、洗衣机、热水器等岗位工作范围：1、服务员主要负责，顾客接待，点餐介绍特色菜，对于特殊顾客例如老人，小孩，孕妇，要额外照顾服务，餐前餐中餐后的服务员，服务员需要打扫自己区域卫生。2、传菜人员主要负责上菜和撤台；3、门迎主要负责接待顾客，接听预定电话回复预定短信，收银买单，送客；4、后厨人员负责菜品出品、备餐和卫生。
15,医疗健康,按摩师保底8000不熬夜 正规专业全国连锁店，工作经验丰富，沟通能力强，年龄40周岁以下
16,医疗健康,中医内科医生 综合门诊开中药，会开针剂方，有执业证，能长期合作优先
17,医疗健康,护士包吃住请电话联系 岗位职责：1、配合医生做好对病人的治疗工作；2、观察病人的病情转化情况。要求：年龄30-36周岁之间，有经验的。
18,医疗健康,高薪包吃住诚聘妇科医生 有意者可直接电话联系咨询，待遇好，福利多，期待您的加入！任职资格：1、有工作经验，年龄无要求2、认真踏实，专业能力强高额提成，外地提供住宿，待遇非常好工作时间：可根据实际情况自己选择，可以早8点到晚4点，具体可面议或者电话咨询工作地点交通方便，期待您的加入
19,医疗健康,中医科室坐诊医生 要求：能够熟练针灸，中医内科开方等。薪资待遇：8000元/月+提成
20,医疗健康,养老院护理员 工作内容：照护老人日常起居、观察老人身体情况、老人室内打扫、老人物品整理、护理主任交到的其他临时工作职位要求：有照护自理、半自理、失能老人工作经验；具备良好的服务素质、服务理念和职业道德、熟悉老年人生活习惯工作时间：6:30-18:30
21,医疗健康,中医骨科+五险一金 1.熟悉骨科常见病、多发病，善于学习，有较强的团队协作能力；2.要求有一定的临床管床经验，3.为人和善，吃苦耐劳；有意向可投递简历或在线沟通咨询，也可直接拨打医院招聘电话沟通
22,医疗健康,急急急聘内科医生 内科，招聘内科医生，工作十年以上。早上八点到下午九点上一天休一天有意向均可电话联系1、接待日常住院部医疗工作，认真检查患者病情，细心诊断，正确处方，合理用药，杜绝误诊；2、根据安排做好防病宣传，普及防病和救护知识；3、定期对医务室的各种医疗器械消毒、更换；4、药品清点检查，对过期药品及时清理，确保员工用药安全。任职资格：1、职称医师以上，大专以上学历，医学、临床、护理等专业；2、语言表达清晰、流畅、具有良好的交流沟通能力，亲和力；3、熟悉计算机基础知识，打字熟练；4、具有良好的职业道德和团队协作精神。
23,医疗健康,"护士 观察病人的病情转化情况,配合医生做好对病人的治疗工作"
24,医疗健康,"理疗师 针对顾客的身体健康状况,通过专业理疗减轻疾病症状、改善健康状况"
25,医疗健康,改刀墩子-悦 工作地点：长春市，各区都有门店，近20家门店，可以就近安排！！！改刀职位要求：要求50周岁以内，有同岗位工作经验一年以上，可以长期从事优先。改刀薪资标准：4000-4600元之间，（需要试刀工之后定工资）公司待遇：每月4天带薪休息，法定节假日有休息。公司免费提供食宿工作满一年，享有五天带薪年假公司每年组织员工旅游及各项技术竞赛持本人身份证原件，到店内应聘。
26,生产制造,"操控机器不出力日200 工作内容：可直接投递简历！没有钱的想挣钱的投简历投简历！因生产需求，现我公司招聘生产线操作工（一）招聘条件1.学历不限，有经验者优先；2.年龄：18-40周岁；4.根据生产计划实施完成定额产量（二）招聘岗位车间操作工（三）薪资标准1.综合工资5000--7000左右；（四）福利待遇1.入职签订劳动合同并且缴纳五险一金2.享受免费工作餐3.享受免费班车；4.享受每年健康体检；5.享受各类职业技能培训；6.享受节日福利及各类丰富团建活动；无需工作经验,过来包进，直接入职上班应届生，实习生，都可以接收【报名方式】报名方式请直接来电咨询报名！或向我投递简历"
27,生产制造,普工/去216/天日结 位描述长春安波福一厂[爱心]企业优势：[爱心]上手简单，厂区无异味。[爱心]冬天暖和，夏天凉快。[爱心]工作餐种类多，好吃不重样。[爱心]转正有五险一金。[爱心]招聘岗位：产线操作工[爱心]招聘要求:年龄18--38周岁。[爱心]工作时间:两班倒10～12小时[爱心]工资待遇：17/小时+1元绩效。[爱心]日结工资：压三天之后，第五天发第四天工资商业保险：每个月80元。员工食堂:炒菜.盖饭.水果.饮料应有尽有！[爱心]入职需求：入职前需要做体检(体检费满月报销)[爱心]面试地点:二道区温州街
28,生产制造,质检员轻松不累包吃住 1、负责依据检验标准对生产各环节的首件、尾件进行检验，并进行过程巡检。2、负责监督生产工艺的执行性。3、负责处理公司生产的不合格品或质量事故。4、负责计量检具的正确使用、保管和维护工作。5、负责对不合格品判定、标识、追溯、跟踪及反馈。6、公司安排的其他临时性工作任务。福利待遇：1、缴纳五险一金2、月休4天法定节假日正常休息各种节日福利3、免费班车，定期体检4、包吃包住加班补助5、绩效奖金
29,服务业,健身教练 岗位职责：1、负责门店顾客接待；2、为来店客户提供专业的美容/纤体咨询服务；3、达成销售意向，成功*所经营产品；4、维护好老客户。任职资格：1、普通话标准，形象气质佳；2、美容行业工作经验1年以上，具备团队合作精神；3、爱岗敬业，工作认真，具有较强的沟通能力和亲和力。工作时间：
30,服务业,跆拳道教练 关于跆拳道教育方面的人才。有无经验均可。
31,服务业,搏击教练员 现馆内招聘教练员，可带好在校学员，维护老生新生，认真教授散打搏击课程，有责任感。工资底薪＋全勤+提成＋话补＋奖金。老板好，帅哥美*多。
32,服务业,健身教练 1.熟练掌握增肌减脂等私人定制的课程2.要求有责任心，诚实守信3.加入我们后免费培训，分配会员
33,人事行政财务,文员 负责整理档案资料、协助经理处理日常事务吉林省鉴文商务咨询有限公司一.寻找城市合伙人1.主要负责对外人员招聘安置工作办理入学学历提升参军入伍等咨询.2.要求：**不限学历不限整体形象干净利索每个月可以完成公司下发的任务3.薪资待遇：时间：9点?4点上班不加班双休薪资：2000无责底薪（其他根据个人能力认真做事轻松5000+）二.合作的两个方向：1.文员：无责底薪2000每个月完成公司派发的任务会奖励加提成（奖励500?1000）（提成根据所完成的而定）2.线上：没有底薪赚提成具体工作时间自己安排没任务，没压力（公司每天会发福利达标公司的奖励制度也会有奖励）线上的工作和公司文员基本一致但是你开始您必须做线上线上开一单公司才可以招聘你我们公司对能力要求很高
34,人事行政财务,朝九晚六底薪4K招人事 公司为娱乐直播类的传媒公司，人事专员日常招聘主要为主播、运营、经纪人等岗位，招聘软件由公司提供，都是全年会员。试岗七天，通过算工资，无责底薪3000+提成，，提成为到面每人5元，没有任务要求，只要每天完成后台200-300条信息就可以。工作内容：1、负责公司的招聘工作，求职者邀约，应聘人员的接待、应排及初试；2、配合新员工进行入职及离职办理；3、负责新员工岗前培训工作；4、员工考勤、资料统计、数据审核等职位要求：大专及以上学历，常期稳定，有相关工作经验者优先1、掌握基本人力资源基础知识；2、有较强的执行力和责任心；3、有亲和力和服务意识，良好的沟通领悟能力；4、工作主动、细心、踏实，且具有较强的原内则性；5、具有敏锐的观察能力，能够主动发现问题；6、掌握和应用基础的办公软件，有较强的学习意识。工作时间：9：00-18：00，午休1小时，每周日休息一天，法定节假日正常休息。
35,运营客服,快递客服 岗位职责：1、受理及主动电话客户，能够及时发现客户问题并给到正确和满意的回复；2、与客户建立良好的联系，熟悉及挖掘客户需求，并对客户进行系统的应用培训；3、具备处理问题、安排进展、跟进进程、沟通及疑难问题服务的意识跟能力，*大限度的提高客户满意度。遇到不能解决的问题按流程提交相关人员或主管处理，并跟踪进展直至解决；4、具备一定的销售能力，针对公司现有的客户进行营销，让客户接受更为广泛的网络产品，达到*好的网络营销的效果。5、不断接受公司的各项业务和技能提升培训。任职资格：1、专科学历，有一定客户服务工作经验或销售经验，有一定的客户服务知识和能力。2、计算机操作熟练，office办公软件使用熟练，有一定的网络知识基础，熟练使用Photoshop等制图工具者优先考虑。3、要求一定要有“客户为先”的服务精神，一切从帮助客户、满足客户角度出发。4、性格要求沉稳、隐忍，善于倾听，有同理心，乐观、积极。普通话标准、流利，反应灵敏。5、热爱工作，敬业、勤恳，乐于思考，具有自我发展的主观愿望和自我学习能力。可适当加班者优先。工作时间：8:00－17:00
36,运营客服,不跑外的坐班客服 工作内容：工作内容很简单很轻松，就是打打电话，召回以前的老玩家回归游戏就可以了，电话玩家资源都是公司提供的，没有任何的难度的，我们使用电脑外呼系统自动拨号的，无需我们手动拨号的，解放了我们的双手。职位要求：格活泼朗，语言表达能力强，年龄20-32岁（我们需要更多新鲜血液注入，你将会成为我们的培养重点）工作时间：上班时间：考虑到年轻人起床难得问题，我们把上班时间调整到上午9.00！下班时间7.30。中午休息一个小时，下午还会有不定时的水果零食发放，我们还会组织有趣的益智类活动，放松精神，培养团队协作的能力。薪资：底薪5000转正晋升只要你能力到位，我们不会埋没任何一个优秀的员工，这里的晋升只看能力不看资历的哟我们的客服月收入5000+以上
37,安保消防,力旺东玺台小区保安 岗位职责：1、确实掌握安全事宜，服勤于大门前、大厅内、后门及各*之警卫岗；2、遵行保安经理之指示，服勤安全警卫勤务，确保财产与顾客安全。任职资格：1、18?30周岁，身高175CM以上，身体健康，容貌端正；2、熟悉安全制度及安全器材使用、意外事件及紧急事故之预防与安排；3、良好的亲和力，退伍军人优先考虑。工作时间：
38,安保消防,"五险一金高铁乘务年假 欢迎留言，可直接联系或投递简历！！！一、招聘岗位1、高铁乘务员、餐吧乘务员2、列车员（高铁、普列）3、车站安检员、站务员、VIP接待员，票务员工作内容:1、负责协调旅客上下车,检车票务,认座,旅客咨询等工作2、负责车站出入站口检查工作3、负责服务礼仪,餐饮服务4、负责列车,站内安全管理,包括站岗,抽查旅客身份证件5、负责列车、站内安全工作职员任职要求:1，年龄18-28周岁，具有较好的语言交流能力;2，净身高150-160以上158-168以上160-170以上根据城市要求3，初中及以上学历;专业不限4，五官端正，面容姣好，身材匀称，动作协调，形象气质佳:5，拥有中华人民共和国公民身份6，本人及家庭成员无犯罪记录;7，身心健康，身体日常部位无伤疤，无纹身，无腋臭退伍军人，学生优先。二、福利待遇1，带薪基础岗位实习，带薪实训转正后月薪6000-8000以上(基本工资+其他福利津贴)国家法定节日发放相关福利及过节费用(中秋、国庆、元旦、除夕…);每年6-9月份发放防署费，11-12月份发放御寒费。2，转正后上几休几，综合上半个月休半个月。3，免费宿舍，被褥，免费无线网，宿舍有空调，24小时热水澡。4，晋升:半年一次晋升机会，并享受岗位津贴5，优秀员工可参加公司年会，并享受年终奖金2000-20000元6，公司统一上五险，一年后上一金7，免费被褥，当天安排食宿。长期合同制，签订长期劳动合同，一直可以工作到退休，享受养老政策。就业方向全国各客运段，所有员工转正后工作地点服从公司就近上岗！"
39,门店零售,营业员 【岗位职责】1.负责店铺日常运营，包括商品陈列、销售推广和顾客服务；2.接受顾客咨询，提供产品信息和解答疑问，达成销售目标；3.定期盘点库存，确保商品充足，处理退换货事宜；4.协助处理客户投诉，维护良好的店铺形象和客户关系。【任职要求】1.高中及以上学历，有零售或相关行业经验者优先；2.良好的沟通技巧和客户服务意识，有耐心，善于解决顾客问题；3.熟悉美妆日化或服装潮牌产品知识，能快速上手新商品；4.能适应早晚班轮班制度，具备一定的销售技巧。【福利待遇】1.提供行业竞争力的底薪加提成，月收入可达5000-8000元；2.商业保险，带薪年假；3.提供专业的产品知识培训和销售技巧提升机会；4.舒适的工作环境，位于购物中心或品牌专卖店，交通便利。
40,门店零售,诚聘收银员，服务生 薪资待遇：底薪3200满勤200+办卡提成+业绩提成，月工资4000--6000左右岗位职责：负责点点收银，买单任职资格：1、形象好，气质佳2、较强的服务意识，熟练使用电脑办公软件；3、具备良好的协调能力、沟通能力，负有责任心，性格活泼开朗，具有亲和力；
41,餐饮,收银员 精品快餐店收银员，店面不大操作简单，顾客都是年轻人素质高易沟通，能管事可以当个小店长加工资。
42,餐饮,"收银员/服务员 负责店面收银、结算、理账工作,有收银工作经验者优先；无经验有专门带教人；"
43,销售,高薪诚聘营业员早八晚五 年龄要求：30-55岁时间，管午饭其他待遇可面谈，详细可来电咨询岗位职责：负责快消品销售，有体销经验者、会销经验者、、电销经验者、保险经验者优先工作时间：早8点~晚5点工资底薪+提成+奖金，工资稳定5千左右有意向可以职级电话联系
44,销售,营业员 负责接待顾客、销售商品、核对账目等工作
45,司机物流,库管五险 工作内容：年龄35-55岁，有服务行业库房管理经验优先，稳重、细心、耐心，熟练使用电脑。职位要求：工作细心，有较强的的责任心，严格要求工作细节工作时间：8:30-17:30月休3天，五险
46,司机物流,公主岭果蔬大仓直招员工 1、分拣员岗：每天上班领取PDA设备，自己领取任务，按照设备上任务进行分拣工作，按照数量将生鲜，果蔬，日用品，酒水饮料，米面粮油等货品放到对应的筐位，，从存货区取货后放到地牛车上，不需要人工搬运，将货品按照数量放到应放的地点。工作简单，管理不严，仓库可带手机，个人计件薪资，多劳多得，上不封顶。工作时间小夜班：16:00-02:00.综合计件薪资：5000-8000元每月。2、打包岗：打包水果，蔬菜，称重，贴标签，装盒，装袋等，小组计件提成，打包*性偏多，工作*轻松，需站立工作。工作时间长白班：9:00-20:00.综合薪资：4500-6000元每月。要求：18-45周岁，**不限，认真仔细，吃苦耐劳，无案底，不要求学历，每月15号工资打卡。工作满天数，可预支工资。可提供员工住宿，仓库内有食堂。工作地址：吉林长春公主岭交界的地方长春大岭物流园
47,传媒,直播间演员 1、没有经验的、纯小白的都可以2、粉丝和用户的线上互动和维护;3、遵守公司的规章制度，配合公司安排的活动和免费的培训;4、网络直播内容严格遵守法律法规，杜绝一切低俗不健康行为;二:入职要求:1、年龄18到35，正规直播平台表演才艺，才艺包括唱歌，舞蹈，聊天，讲八卦，脱口秀，手工才艺。2、情商高，沟通能力强，能够活跃直播间气氛.3、线上直播，有设备的可以在家播，公司可提供全套设备三:薪资待遇1、保底薪资:8000-10000月+提成(月薪一万至十万，上不封顶)2、提供原创剧本短视频拍摄等包装。3、工作时间:主播自定，比较自由
48,传媒,诚聘带货主播 工作内容：1.直播期间，和粉丝互动，调动粉丝情绪，活跃直播间；2、在直播平台进行产品详细讲解，吸引粉丝关注并完成销售目标。3、策划直播内容，撰写直播脚本，提升视频及直播业务营收。4、参与团队视频拍摄和活动方案讨论，完成日常视频拍摄。5、跟进直播效果，复盘总结分析直播数据，并不断改进优化。薪资：面议，底薪+提成+绩效
49,传媒,招主播和经纪人月入万 招募主播啦；招募主播啦；招募娱乐主播啦!!!不需要露脸会聊天唱歌打游戏甚至是搞笑都可以有无经验均可【也可以兼职哦】线上线下看你时间安排这么自由的工作真的不心动嘛!！我们喜爱活泼又有才华的你你与美好生活的距离可能就差这一份工作公司十年老运营带你走向人生巅峰期待你的加入!!!面试面试！！！年龄要求；18-32周岁声音甜美有无经验均可任职要求；1，普通话标准性格开朗活泼自信热爱表现自己2，会聊天会开玩笑会搞气氛热爱沟通3，表发能力和应变能力强4，对互联网娱乐直播行业感兴趣5，没有经验的主播公司免费培训运营跟进指导工作内容；活跃直播间的内容，娱乐观众维护品频道秩序与游客互动，维护自己的粉丝保证纯绿色直播不露脸不需要才艺会聊天会游戏会唱歌都可以挑自己擅长的来无需来公司居家播即可设备有没有无所谓一部手机就可以播没有任何收费项目公司免费培训和运营指导只要你喜欢聊天就可无需担心会出错管理会一直盯着及时解决任何问题薪资待遇；有保底和福利两种选择1、保底；按麦序时长算保底{平台提成+额外奖励}以到银行卡为准2、福利；平台提成+麦序福利+麦序奖励+魅力奖励注：公司不抽取任何提点平台所挣得都自得干的好还有额外福利
50,传媒,游戏主播工作轻松过w自由 招聘游戏直播主播：年龄18-30岁之间公司承诺：专人培训，免费培训，提供直播设备，灯光设备，不高压每天工作时间可自主选择，时间短。工作内容：团体直播，工作有专业的培训没有经验的、纯小白的都可以，公司有专业的运营团队，去指导如何直播任职要求：性格活泼开朗，有上进心，有赚钱欲望，积极向上，不自私，有直播经验者优先。新人也可以，不要对自己没信心，面试之后只要通过，公司为你提供无责底薪兜底，专人培训，无押金，无任务，正规绿色平台，拒绝一切不良行为薪资待遇，公司提供无责底薪，保底薪资8000-10000不成问题，提供住房补助，本公司承诺不拖欠任何薪资公司环境好，通勤交通便利
51,传媒,"招某音短视频剪辑可无经验 1、学历专业，年龄18-30岁2、会简单的基本电脑操作2、无经验可学习，前期不懂会人带，良好的沟通能力，学习能力强3、对互联网设计,视频剪辑，ps,运营感兴趣，往长期往这方面发展4、会基本的色彩调搭配感、审美观，逻辑思维分析强，做事踏实，认真负责。福利待遇周末双休，朝九晚六"
52,传媒,"不露脸语音厅主持 工作内容:王者荣耀和平精英手游1.对游戏有一定的了解，沟通能力强，性格开朗。2.根据订单开启每日游戏操作，语音开黑。3.在游戏中与玩家沟通，跟玩家建立良好关系。4.性格开朗，会聊天，思维敏捷，喜欢玩游戏或会玩游戏有无经验均可薪资待遇:薪资待遇：试用期无责底薪3000+提成提供住宿转正后：底薪4000+提成，月收入6000-20000以上包吃住工作环境氛围轻松，都是同龄人沟通无障碍，提供免费零食及饮料。每月不定期聚餐，举办员工庆生Party,节假日提供精美礼品，工作状态随意简单轻松不累。"
53,传媒,高薪诚聘直播助理电联 服装带货主播10名，有意者请电联联系！！每天工作8小时，月薪8000，供吃住年龄25-45之间，口才好，身材好可试穿衣服，有无经验均可助播5名每天工作10小时，工作轻松，月薪5000，供吃住年龄25-45之间，主要工作配合主播上链接，下播贴号码，工作地点在江苏省南通市松原市有直播间，实习在松原，包吃住。能自己操作之后在南通市工作。
54,传媒,星探经纪人 工作内容：1.通过各平台、公司渠道招募，挖掘有潜力的主播或行业新人2.负责主播的入职及前期培训，入职后续维护职位要求：1.有传媒行业相关经验者，从事过网络工作者优先录取2.有较强的沟通能力和应变能力，有一定的抗压能力。3.对传媒行业抱有热情，愿意学习，喜欢直播行业，喜欢与人互动沟通薪资待遇：无责底薪4000+住宿+提成+年终奖+节假日福利+定期团建+五险。月薪5000~10000有无经验均可，师徒老带新，手把手带你赚钱！轻轨3号线在卫光街站下车，西行300米到远创国际A座；地铁4号线在卫星广场站下车，西行800米到远创国际A座
55,传媒,不露脸语音主播有保底 职位描述1、没有经验的、纯小白的都可以！2、粉丝和用户的线上互动和维护；3，发展空间大，优秀有能力可以升厅管4、遵守公司的规章制度，配合公司安排的活动和免费的培训；5、网络直播内容严格遵守法律法规，杜绝一切低俗不健康行为；三：入职要求:1、年龄18到35，正规直播平台表演才艺，才艺包括唱歌，舞蹈，聊天，讲八卦，脱口秀，手工才艺。2、情商高，沟通能力强，能够活跃直播间气氛.3、线上直播工作时间：中午12:00--凌晨3：00，可兼职，可全职。兼职每天4个小时，全职每天6个小时。都有高保底。培训为3天可在公司培训，培训算薪资，后台礼物*提点，额外还有福利奖福利待遇：1、绩效+奖金上不封顶。2、定期免费培训。3、提供优质食宿，也可在家办公，无需坐班，无需上下班打卡。4、生日、节假日福利。5、定期团建。6.带薪年假半个月
56,传媒,高薪聘星探包住 负责公司主播的线上招聘，引入，培训，维护等工作无责底薪4000+饭补+全勤+绩效奖金+提成奖金+年终奖+节假日福利+定期团建+五险。月休四天，工作时间中午12点~晚9点。负责公司主播的挖掘，引入，培训，维护。无责底薪4000+饭补+全勤+绩效奖金+提成奖金+年终奖+节假日福利+定期团建+五险。月休四天，工作时间中午12点~晚9点。
57,传媒,双休短视频拍摄助理带小白 1.中专及以上学历，18-30周岁。2.对设计师、计算机行业感兴趣者优先3.思维活跃，有创新能力或创新意识者优先4.想拥有一技之长，有个稳定发展好的工作者优先
